,Week,Name,Team,Opponent,Fanduel_Points,Fanduel_Price,Home
6139,16,"Blasingame, Khari",ten, gnb,0.0,4500.0,Away
6140,16,"Nall, Ryan",chi, jac,0.0,4600.0,Away
6141,16,"Foster, D.J.",ari,sfo,0.0,4500.0,Home
6142,16,"Barner, Kenjon",tam, det,0.0,4500.0,Away
6143,16,"Phillips, Scottie",hou,cin,0.0,4500.0,Home
6144,16,"Sherman, Anthony",kan,atl,0.0,4500.0,Home
6145,16,"Laird, Patrick",mia, lvr,0.0,4800.0,Away
6146,16,"Johnson, D'Ernest",cle, nyj,0.0,4600.0,Away
6147,16,"Howell, Buddy",hou,cin,0.0,4600.0,Home
6148,16,"Breida, Matt",mia, lvr,0.0,5300.0,Away
6149,16,"Watt, Derek",pit,ind,0.0,4500.0,Home
6150,16,"Adams, Josh",nyj,cle,0.0,4600.0,Home
6151,16,"Jones, Xavier",lar, sea,0.0,4500.0,Away
6152,16,"Hilliard, Dontrell",hou,cin,0.0,4500.0,Home
6153,16,"Jones, Taiwan",buf, nwe,0.0,4500.0,Away
6154,16,"Montgomery, Ty",nor,min,0.0,4500.0,Home
6155,16,"Ricard, Patrick",bal,nyg,0.0,4500.0,Home
6156,16,"Snell, Benny",pit,ind,0.0,5400.0,Home
6157,16,"Janovich, Andy",cle, nyj,0.0,4500.0,Away
6158,16,"Ingold, Alec",lvr,mia,0.0,4500.0,Home
6159,16,"Clement, Corey",phi, dal,0.0,4600.0,Away
6160,16,"Nabers, Gabe",lac,den,0.0,4500.0,Home
6161,16,"Cannon, Trenton",car, was,0.0,4600.0,Away
6162,16,"Adams, Davante",gnb,ten,37.7,9200.0,Home
6163,16,"Diggs, Stefon",buf, nwe,37.0,8500.0,Away
6164,16,"Evans, Mike",tam, det,35.1,7600.0,Away
6165,16,"Gallup, Michael",dal,phi,27.1,5600.0,Home
6166,16,"Crowder, Jamison",nyj,cle,25.82,6000.0,Home
6167,16,"Agholor, Nelson",lvr,mia,24.0,5900.0,Home
6168,16,"Cooks, Brandin",hou,cin,23.6,7000.0,Home
6169,16,"Lamb, CeeDee",dal,phi,21.9,6000.0,Home
6170,16,"Smith-Schuster, JuJu",pit,ind,20.1,6800.0,Home
6171,16,"Thielen, Adam",min, nor,19.7,7500.0,Away
6172,16,"Higgins, Tee",cin, hou,18.9,5800.0,Away
6173,16,"Samuel, Curtis",car, was,18.3,5900.0,Away
